FlightMode:,T:,P:,Sample:
Standby,27.590940,100891.713693,78
Standby,27.585352,100890.920867,79
Standby,27.586609,100890.916027,80
Standby,27.589072,100892.427456,81
Standby,27.591988,100892.763523,82
Standby,27.588897,100893.394167,83
Standby,27.590312,100894.590289,84
Standby,27.588827,100891.909451,85
Standby,27.584322,100892.908785,86
Standby,27.584671,100892.987280,87
Standby,27.588530,100892.944494,88
Standby,27.589037,100891.796871,89
Standby,27.594538,100894.566041,90
Standby,27.590207,100893.353201,91
Standby,27.590382,100891.156979,92
Standby,27.589491,100892.266167,93
Standby,27.593071,100893.246367,94
Standby,27.584776,100891.078767,95
Standby,27.592215,100893.580993,96
Standby,27.591482,100892.553902,97
Standby,27.587884,100891.473974,98
Standby,27.587064,100892.359339,99
Standby,27.589543,100893.475511,100
Standby,27.587657,100890.145551,101
Standby,27.595236,100894.579319,102
Standby,27.592634,100894.393732,103
Standby,27.589159,100894.474964,104
Standby,27.589369,100893.212718,105
Standby,27.586959,100890.643234,106
Standby,27.592529,100893.779379,107
Standby,27.586836,100894.176518,108
Standby,27.589578,100894.026259,109
Standby,27.590189,100894.674589,110
Standby,27.583798,100894.771003,111
Standby,27.589386,100895.020982,112
Standby,27.585789,100893.717487,113
Standby,27.582872,100894.962172,114
Standby,27.578105,100893.347807,115
Standby,27.578314,100893.889889,116
Standby,27.576638,100892.970221,117
Standby,27.571975,100893.582865,118
Standby,27.576411,100893.078870,119
Standby,27.577371,100895.338538,120
Standby,27.572779,100893.907113,121
Standby,27.569932,100891.878231,122
Standby,27.571906,100893.710868,123
Standby,27.575974,100894.785039,124
Standby,27.573634,100893.907827,125
Standby,27.566771,100892.956121,126
Standby,27.567051,100890.863394,127
Standby,27.572464,100894.379344,128
Standby,27.564938,100889.558217,129
Standby,27.565619,100891.291997,130
Standby,27.568937,100893.762148,131
Standby,27.566684,100892.010419,132
Standby,27.568849,100893.806391,133
Standby,27.566125,100893.178136,134
Standby,27.571120,100894.236796,135
Standby,27.570823,100893.818799,136
Standby,27.566178,100892.758806,137
Standby,27.564711,100893.546788,138
Standby,27.567557,100892.749537,139
Standby,27.562825,100891.254788,140
Standby,27.562668,100893.167402,141
Standby,27.565566,100893.132372,142
Standby,27.565165,100894.558945,143
Standby,27.562720,100893.083377,144
Standby,27.561340,100890.953105,145
Standby,27.567575,100894.573686,146
Standby,27.565042,100894.020532,147
Standby,27.565916,100893.178937,148
Standby,27.565968,100896.112642,149
Standby,27.563453,100893.344025,150
Standby,27.567505,100894.749588,151
Standby,27.563995,100893.785034,152
Standby,27.564396,100893.795475,153
Standby,27.562825,100893.697695,154
Standby,27.563331,100893.140917,155
Standby,27.561008,100891.181899,156
Standby,27.566003,100894.954913,157
Standby,27.562790,100893.514211,158
Standby,27.561707,100894.117097,159
Standby,27.564833,100892.887691,160
Standby,27.562633,100894.117555,161
Standby,27.567173,100895.776728,162
Standby,27.565566,100893.818945,163
Standby,27.562877,100893.773337,164
Standby,27.567470,100894.023229,165
Standby,27.568133,100896.104372,166
Standby,27.565182,100894.499003,167
Standby,27.564711,100894.440928,168
Standby,27.565986,100894.088779,169
Standby,27.567295,100895.053760,170
Standby,27.562947,100896.263880,171
Standby,27.567837,100896.356985,172
Standby,27.559769,100895.278083,173
Standby,27.563209,100894.438681,174
Standby,27.558878,100893.688812,175
Standby,27.560939,100895.908296,176
Standby,27.560380,100895.032261,177
Standby,27.556835,100892.223694,178
Standby,27.559681,100893.741629,179
Standby,27.552940,100893.487918,180
Standby,27.559908,100895.133851,181
Standby,27.557987,100894.622261,182
Standby,27.539721,100892.224990,183
Standby,27.547859,100893.543188,184
Standby,27.546689,100895.084384,185
Standby,27.542078,100893.249832,186
Standby,27.542183,100894.215379,187
Standby,27.533574,100892.647464,188
Standby,27.534482,100892.628055,189
Standby,27.532124,100892.449395,190
Standby,27.534447,100895.078934,191
Standby,27.528684,100891.452606,192
Standby,27.530675,100892.762227,193
Standby,27.530972,100894.361659,194
Standby,27.523794,100893.115557,195
Standby,27.525244,100894.447185,196
Standby,27.515255,100889.136561,197
Standby,27.516687,100893.082529,198
Standby,27.523602,100893.088343,199
Standby,27.519079,100894.003476,200
Standby,27.520668,100894.105244,201
Standby,27.514801,100893.680352,202
Standby,27.511972,100894.784617,203
Standby,27.509824,100893.471600,204
Standby,27.509998,100893.590680,205
Standby,27.509177,100892.767584,206
Standby,27.508426,100893.875981,207
Standby,27.510679,100892.626225,208
Standby,27.506051,100893.437899,209
Standby,27.506191,100895.704381,210
Standby,27.509824,100894.892481,211
Standby,27.503746,100892.855871,212
Standby,27.492954,100892.553153,213
Standby,27.495958,100895.686892,214
Standby,27.488990,100892.811462,215
Standby,27.484816,100894.172060,216
Standby,27.490928,100895.466254,217
Standby,27.485846,100895.377494,218
Standby,27.481341,100893.247156,219
Standby,27.482720,100894.147962,220
Standby,27.480729,100892.694691,221
Standby,27.483768,100894.830503,222
Standby,27.485514,100894.137520,223
Standby,27.486859,100895.557297,224
Standby,27.480520,100894.196088,225
Standby,27.484956,100895.177278,226
Standby,27.480921,100894.046922,227
Standby,27.486073,100895.412565,228
Standby,27.479053,100893.962104,229
Standby,27.482511,100894.547846,230
Standby,27.481201,100894.381123,231
Standby,27.481847,100893.600464,232
Standby,27.481795,100894.722132,233
Standby,27.485637,100895.090922,234
Standby,27.481009,100894.050587,235
Standby,27.488728,100896.472249,236
Standby,27.485060,100897.276171,237
Standby,27.481969,100894.458074,238
Standby,27.483017,100895.268328,239
Standby,27.482633,100896.985899,240
Standby,27.484309,100896.931753,241
Standby,27.483558,100897.146079,242
Standby,27.477429,100893.565075,243
Standby,27.482022,100894.964736,244
Standby,27.487802,100896.950643,245
Standby,27.475473,100894.913331,246
Standby,27.478686,100894.135085,247
Standby,27.483925,100897.148702,248
Standby,27.473482,100894.322107,249
Standby,27.476189,100894.148390,250
Standby,27.481690,100896.438656,251
Standby,27.479123,100895.191066,252
Standby,27.488588,100897.382734,253
Standby,27.482441,100894.995100,254
Standby,27.485794,100896.291638,255
Standby,27.474355,100895.204843,256
Standby,27.475962,100895.198858,257
Standby,27.465746,100892.710647,258
Standby,27.472504,100896.081759,259
Standby,27.456996,100895.117686,260
Standby,27.455599,100893.973516,261
Standby,27.469640,100897.018301,262
Standby,27.463493,100894.231560,263
Standby,27.459232,100894.391050,264
Standby,27.451460,100892.516264,265
Standby,27.450744,100894.286818,266
Standby,27.443410,100892.430337,267
Standby,27.435813,100892.941265,268
Standby,27.431499,100892.179003,269
Standby,27.428181,100892.103436,270
Standby,27.427919,100894.694272,271
Standby,27.429666,100895.613662,272
Standby,27.421807,100891.883469,273
Standby,27.415730,100890.964047,274
Standby,27.420375,100890.667642,275
Standby,27.419921,100892.640614,276
Standby,27.411311,100889.699338,277
Standby,27.415310,100894.205833,278
Standby,27.414053,100892.039640,279
Standby,27.410386,100891.103368,280
Standby,27.409390,100893.433422,281
Standby,27.401933,100893.416795,282
Standby,27.411049,100893.072200,283
Standby,27.396921,100890.885290,284
Standby,27.399279,100893.809559,285
Standby,27.400344,100893.251015,286
Standby,27.392171,100889.529981,287
Standby,27.387962,100891.600301,288
Standby,27.386251,100892.492360,289
Standby,27.385046,100891.136085,290
Standby,27.386478,100893.373370,291
Standby,27.374358,100893.712639,292
Standby,27.379614,100894.623284,293
Standby,27.377868,100893.257008,294
Standby,27.371756,100892.584889,295
Standby,27.370324,100893.683358,296
Standby,27.372699,100893.132105,297
Standby,27.369066,100890.815060,298
Standby,27.371738,100891.974469,299
Standby,27.370463,100892.964638,300
Standby,27.370428,100894.409173,301
Standby,27.372000,100893.757090,302
Standby,27.367075,100892.298591,303
Standby,27.364456,100892.762931,304
Standby,27.367058,100893.395918,305
Standby,27.366062,100892.182555,306
Standby,27.366569,100891.482464,307
Standby,27.368018,100894.042824,308
Standby,27.361819,100892.936051,309
Standby,27.360491,100890.690486,310
Standby,27.366167,100892.892403,311
Standby,27.361766,100891.886868,312
Standby,27.361923,100893.278813,313
Standby,27.363547,100892.893894,314
Standby,27.358518,100892.481140,315
Standby,27.359548,100890.398636,316
Standby,27.362535,100891.708530,317
Standby,27.359950,100891.350792,318
Standby,27.362342,100892.032415,319
Standby,27.359531,100891.655545,320
Standby,27.357330,100889.532849,321
Standby,27.357487,100891.595095,322
Standby,27.355043,100891.571999,323
Standby,27.353488,100890.600071,324
Standby,27.358483,100892.090248,325
Standby,27.354274,100890.026673,326
Standby,27.354030,100890.131295,327
Standby,27.349367,100889.769075,328
Standby,27.354833,100891.939830,329
Standby,27.350554,100893.100359,330
Standby,27.351462,100891.501121,331
Standby,27.355951,100891.073968,332
Standby,27.352685,100893.739055,333
Standby,27.355147,100892.313752,334
Standby,27.353645,100891.305723,335
Standby,27.359496,100894.344923,336
Standby,27.353680,100893.803299,337
Standby,27.356300,100891.918578,338
Standby,27.353104,100889.875290,339
Standby,27.353803,100892.059255,340
Standby,27.354047,100891.140686,341
Standby,27.351620,100891.328988,342
Standby,27.350642,100890.933521,343
Standby,27.353034,100891.998186,344
Standby,27.352074,100892.260993,345
Standby,27.349506,100889.688773,346
Standby,27.352371,100891.801082,347
Standby,27.353628,100892.498777,348
Standby,27.355077,100891.579853,349
Standby,27.349052,100892.076370,350
Standby,27.350799,100892.516951,351
Standby,27.347428,100890.977018,352
Standby,27.345140,100891.132879,353
Standby,27.344651,100893.704111,354
Standby,27.343254,100892.576011,355
Standby,27.339657,100891.623395,356
Standby,27.338714,100891.044269,357
Standby,27.337788,100890.963807,358
Standby,27.342329,100892.447671,359
Standby,27.336408,100891.371730,360
Standby,27.335273,100890.637693,361
Standby,27.332392,100892.894267,362
Standby,27.329737,100892.057946,363
Standby,27.328602,100890.637676,364
Standby,27.323729,100891.297458,365
Standby,27.327240,100891.895326,366
Standby,27.325458,100889.994621,367
Standby,27.326995,100889.622063,368
Standby,27.321896,100889.448816,369
Standby,27.326297,100892.305651,370
Standby,27.326314,100892.533002,371
Standby,27.317634,100891.618456,372
Standby,27.312046,100890.904300,373
Standby,27.314980,100887.398935,374
Standby,27.314159,100889.400662,375
Standby,27.310998,100890.349493,376
Standby,27.314892,100890.235862,377
Standby,27.309583,100888.978132,378
Standby,27.311557,100888.799541,379
Standby,27.312692,100890.139983,380
Standby,27.311155,100889.714588,381
Standby,27.309007,100889.806027,382
Standby,27.308151,100890.267876,383
Standby,27.305549,100887.528350,384
Standby,27.309688,100889.129362,385
Standby,27.313391,100891.302455,386
Standby,27.310334,100892.498251,387
Standby,27.306283,100889.528485,388
Standby,27.306929,100891.413240,389
Standby,27.306405,100890.194303,390
Standby,27.304292,100888.745647,391
Standby,27.304257,100890.748514,392
Standby,27.310212,100890.795136,393
Standby,27.306737,100891.561537,394
Standby,27.310876,100890.577334,395
Standby,27.308955,100892.730566,396
Standby,27.308920,100891.637549,397
Standby,27.310107,100893.277026,398
Standby,27.306789,100892.195689,399
Standby,27.308920,100892.164172,400
Standby,27.310177,100890.579824,401
Standby,27.311662,100891.392399,402
Standby,27.311889,100890.134869,403
Standby,27.310841,100890.234355,404
Standby,27.313181,100893.617172,405
Standby,27.314561,100891.884756,406
Standby,27.311260,100890.695653,407
Standby,27.315067,100893.371078,408
Standby,27.313251,100891.701913,409
Standby,27.321773,100893.107783,410
Standby,27.321092,100892.970576,411
Standby,27.319451,100892.888662,412
Standby,27.322280,100894.450496,413
Standby,27.316098,100891.735649,414
Standby,27.317582,100891.542840,415
Standby,27.314438,100890.101836,416
Standby,27.314997,100891.153100,417
Standby,27.312081,100891.438780,418
Standby,27.313321,100890.632451,419
Standby,27.318071,100891.588971,420
Standby,27.317233,100891.671755,421
Standby,27.314299,100892.942937,422
Standby,27.312692,100892.166698,423
Standby,27.317739,100892.344197,424
Standby,27.315207,100890.003342,425
Standby,27.316796,100891.334194,426
Standby,27.324061,100894.563830,427
Standby,27.317879,100890.572298,428
Standby,27.316883,100892.965642,429
Standby,27.321389,100889.606225,430
Standby,27.314683,100890.124901,431
Standby,27.325074,100892.509507,432
Standby,27.327013,100891.876190,433
Standby,27.316883,100890.954868,434
Standby,27.322559,100890.427902,435
Standby,27.323398,100893.249602,436
Standby,27.317739,100890.860051,437
Standby,27.322280,100892.407781,438
Standby,27.324341,100894.195781,439
Standby,27.322367,100893.049807,440
Standby,27.326698,100893.305633,441
Standby,27.325144,100894.025345,442
Standby,27.320079,100894.163110,443
Standby,27.320586,100891.915123,444
Standby,27.314369,100890.437212,445
Standby,27.320167,100894.406168,446
Standby,27.318403,100892.254057,447
Standby,27.316569,100891.011844,448
Standby,27.318612,100892.301185,449
Standby,27.315381,100893.521564,450
Standby,27.316796,100893.009840,451
Standby,27.314823,100889.932901,452
Standby,27.321232,100892.954118,453
Standby,27.320691,100891.747182,454
Standby,27.320498,100893.188137,455
Standby,27.317547,100890.832809,456
Standby,27.318438,100891.655485,457
Standby,27.323136,100891.706529,458
Standby,27.326139,100892.892700,459
Standby,27.329335,100894.313585,460
Standby,27.329073,100890.153229,461
Standby,27.325895,100890.571565,462
Standby,27.325615,100891.593929,463
Standby,27.326052,100890.702663,464
Standby,27.328951,100888.641559,465
Standby,27.331344,100890.248824,466
Standby,27.329527,100889.233963,467
Standby,27.328986,100890.053799,468
Standby,27.330872,100889.807652,469
Standby,27.324131,100889.424856,470
Standby,27.327921,100890.436640,471
Standby,27.329196,100889.893458,472
Standby,27.326768,100888.469850,473
Standby,27.330453,100888.947371,474
Standby,27.329161,100890.093070,475
Standby,27.331850,100888.176325,476
Standby,27.334295,100891.040180,477
Standby,27.327624,100890.465631,478
Standby,27.330767,100891.076768,479
Standby,27.336111,100892.294437,480
Standby,27.331012,100891.307297,481
Standby,27.331501,100891.385340,482
Standby,27.332374,100890.368811,483
Standby,27.331815,100891.599660,484
Standby,27.328305,100891.305024,485
Standby,27.334697,100895.854406,486
Standby,27.334522,100893.389346,487
Standby,27.333719,100892.570331,488
Standby,27.336496,100893.098998,489
Standby,27.339779,100892.289256,490
Standby,27.338434,100894.141367,491
Standby,27.337456,100895.118385,492
Standby,27.340757,100893.833799,493
Standby,27.333841,100892.470148,494
Standby,27.337037,100892.247229,495
Standby,27.330278,100890.998725,496
Standby,27.337753,100891.961384,497
Standby,27.336985,100891.964142,498
Standby,27.332392,100892.128233,499
Standby,27.336304,100893.598411,500
Standby,27.337282,100892.461802,501
Standby,27.338469,100895.585554,502
Standby,27.336531,100894.319751,503
Standby,27.339412,100893.180303,504
Standby,27.337666,100892.532240,505
Standby,27.337421,100894.137018,506
Standby,27.342626,100893.312402,507
Standby,27.337998,100893.069673,508
Standby,27.340233,100894.577787,509
Standby,27.338923,100892.623483,510
Standby,27.343534,100891.617442,511
Standby,27.342102,100893.226507,512
Standby,27.344145,100891.930442,513
Standby,27.344948,100894.393291,514
Standby,27.341648,100893.730857,515
Standby,27.337159,100891.540596,516
Standby,27.343534,100892.590966,517
Standby,27.338976,100891.613871,518
Standby,27.344302,100893.577690,519
Standby,27.343184,100892.049601,520
Standby,27.350100,100894.833614,521
Standby,27.349367,100893.503623,522
Standby,27.341979,100889.512404,523
Standby,27.345018,100892.813053,524
Standby,27.347550,100891.946120,525
Standby,27.347603,100893.474059,526
Standby,27.350048,100893.225869,527
Standby,27.350886,100893.494166,528
Standby,27.350921,100893.661616,529
Standby,27.347166,100891.732049,530
Standby,27.349995,100891.474488,531
Standby,27.347882,100892.419723,532
Standby,27.350257,100893.209155,533
Standby,27.347044,100892.215265,534
Standby,27.346677,100892.946733,535
Standby,27.350834,100894.009053,536
Standby,27.348598,100894.655478,537
Standby,27.350345,100892.973436,538
Standby,27.350694,100895.445926,539
Standby,27.354990,100894.065907,540
Standby,27.349489,100892.222424,541
Standby,27.354012,100894.723781,542
Standby,27.350292,100891.605085,543
Standby,27.353768,100892.913228,544
Standby,27.357749,100892.978670,545
Standby,27.351742,100891.372436,546
Standby,27.356230,100893.227537,547
Standby,27.354850,100893.667415,548
Standby,27.352109,100891.774096,549
Standby,27.352021,100891.754461,550
Standby,27.353750,100892.973140,551
Standby,27.348948,100891.366545,552
Standby,27.346538,100892.484409,553
Standby,27.349052,100892.587077,554
Standby,27.345001,100891.101463,555
Standby,27.349524,100891.815328,556
Standby,27.353698,100893.488031,557
Standby,27.350537,100892.872996,558
Standby,27.346555,100892.057429,559
Standby,27.348563,100891.104596,560
Standby,27.353418,100891.701545,561
Standby,27.358099,100893.583886,562
Standby,27.350187,100891.262330,563
Standby,27.354117,100893.693998,564
Standby,27.348389,100890.139671,565
Standby,27.351043,100894.471130,566
Standby,27.355549,100894.239452,567
Standby,27.352912,100892.465449,568
Standby,27.354606,100893.548598,569
Standby,27.359670,100894.049034,570
Standby,27.352580,100892.023762,571
Standby,27.356702,100893.620844,572
Standby,27.361469,100895.123835,573
Standby,27.361207,100895.112810,574
Standby,27.360159,100893.472711,575
Standby,27.362185,100894.247439,576
Standby,27.361487,100891.377158,577
Standby,27.357610,100893.442010,578
Standby,27.361784,100894.811480,579
Standby,27.362377,100893.508594,580
Standby,27.362011,100893.426128,581
Standby,27.362395,100893.416760,582
Standby,27.360963,100893.158591,583
Standby,27.359409,100890.861980,584
Standby,27.367197,100893.762498,585
Standby,27.360736,100892.804301,586
Standby,27.362919,100892.561004,587
Standby,27.365765,100891.541233,588
Standby,27.366743,100890.771604,589
Standby,27.364508,100894.243042,590
Standby,27.366970,100892.019667,591
Standby,27.366883,100891.553147,592
Standby,27.368437,100893.195414,593
Standby,27.367652,100894.167841,594
Standby,27.369992,100894.997294,595
Standby,27.371424,100891.680341,596
Standby,27.363547,100891.840528,597
Standby,27.367355,100891.435728,598
Standby,27.370219,100892.255289,599
Standby,27.372157,100893.616868,600
Standby,27.370166,100893.201127,601
Standby,27.370865,100893.709329,602
Standby,27.374917,100893.359484,603
Standby,27.373624,100892.717770,604
Standby,27.373624,100892.063393,605
Standby,27.369642,100891.567094,606
Standby,27.374166,100891.754192,607
Standby,27.378008,100892.426552,608
Standby,27.375144,100895.102343,609
Standby,27.377152,100895.043196,610
Standby,27.374393,100891.709477,611
Standby,27.378270,100892.932349,612
Standby,27.377571,100891.817645,613
Standby,27.378497,100893.143003,614
Standby,27.379841,100892.072750,615
Standby,27.378584,100890.896234,616
Standby,27.381710,100891.168172,617
Standby,27.381099,100892.483159,618
Standby,27.381675,100894.160928,619
Standby,27.375213,100889.914936,620
Standby,27.380784,100893.114747,621
Standby,27.383055,100893.082559,622
Standby,27.376418,100892.532072,623
Standby,27.383299,100892.339496,624
Standby,27.386373,100894.562835,625
Standby,27.380488,100895.697461,626
Standby,27.380837,100893.158448,627
Standby,27.385779,100894.110109,628
Standby,27.386024,100895.362146,629
Standby,27.384242,100893.541105,630
Standby,27.382426,100893.340215,631
Standby,27.388434,100893.015115,632
Standby,27.388364,100893.190939,633
Standby,27.384068,100893.773171,634
Standby,27.384941,100893.618370,635
Standby,27.387019,100893.367411,636
Standby,27.390128,100894.305777,637
Standby,27.388102,100894.376990,638
Standby,27.394459,100894.880570,639
Standby,27.392415,100894.085966,640
Standby,27.392887,100895.484833,641
Standby,27.391315,100892.210563,642
Standby,27.394930,100893.007409,643
Standby,27.395803,100895.597914,644
Standby,27.397428,100895.388492,645
Standby,27.397462,100894.710013,646
Standby,27.395594,100892.981047,647
Standby,27.395541,100893.895015,648
Standby,27.395751,100895.841513,649
Standby,27.397532,100893.640357,650
Standby,27.397707,100895.195939,651
Standby,27.397480,100894.506444,652
Standby,27.394546,100893.942536,653
Standby,27.396257,100896.146921,654
Standby,27.395821,100894.021685,655
Standby,27.396764,100894.185840,656
Standby,27.401322,100895.641646,657
Standby,27.394424,100892.255093,658
Standby,27.394109,100893.174003,659
Standby,27.396834,100895.510365,660
Standby,27.405548,100893.894399,661
Standby,27.401933,100893.879675,662
Standby,27.399960,100895.255561,663
Standby,27.404116,100895.136645,664
Standby,27.399803,100892.043924,665
Standby,27.401636,100895.760209,666
Standby,27.406334,100895.395899,667
Standby,27.404064,100895.076981,668
Standby,27.399890,100894.298138,669
Standby,27.409146,100897.480585,670
Standby,27.404326,100895.151841,671
Standby,27.410787,100897.083528,672
Standby,27.409792,100895.550858,673
Standby,27.409635,100897.143605,674
Standby,27.412621,100897.400051,675
Standby,27.409705,100897.350851,676
Standby,27.412883,100896.565092,677
Standby,27.409495,100895.579876,678
Standby,27.413721,100897.232420,679
Standby,27.407120,100894.822403,680
Standby,27.412010,100895.538755,681
Standby,27.412446,100897.376746,682
Standby,27.409530,100896.130425,683
Standby,27.414402,100896.459772,684
Standby,27.409687,100896.708459,685
Standby,27.411468,100896.374734,686
Standby,27.405723,100896.407697,687
Standby,27.411224,100898.139394,688
Standby,27.414210,100898.475651,689
Standby,27.406299,100895.499777,690
Standby,27.416184,100897.738181,691
Standby,27.417616,100897.932465,692
Standby,27.414629,100897.963341,693
Standby,27.413861,100897.168062,694
Standby,27.415083,100899.039104,695
Standby,27.411923,100898.041072,696
Standby,27.407574,100897.127188,697
Standby,27.400449,100896.402993,698
Standby,27.403138,100900.072294,699
Standby,27.387229,100896.925925,700
Standby,27.395175,100897.627270,701
Standby,27.392555,100896.495577,702
Standby,27.387054,100896.503596,703
Standby,27.384504,100897.478478,704
Standby,27.381588,100897.109983,705
Standby,27.378287,100896.798737,706
Standby,27.368822,100894.893792,707
Standby,27.369695,100897.117097,708
Standby,27.366167,100896.722846,709
Standby,27.364141,100894.304217,710
Standby,27.365835,100896.249228,711
Standby,27.355549,100897.383538,712
Standby,27.354239,100895.987776,713
Standby,27.359915,100896.402248,714
Standby,27.359967,100894.610552,715
Standby,27.346730,100895.751432,716
Standby,27.341770,100896.886383,717
Standby,27.343516,100896.975881,718
Standby,27.345175,100897.572403,719
Standby,27.344843,100898.279799,720
Standby,27.341386,100894.773145,721
Standby,27.332252,100894.394918,722
Standby,27.338277,100894.249655,723
Standby,27.332776,100897.848182,724
Standby,27.313094,100896.230673,725
Standby,27.308972,100894.825027,726
Standby,27.301043,100894.605817,727
Standby,27.301637,100895.952165,728
Standby,27.290093,100895.973050,729
Standby,27.283055,100896.624205,730
Standby,27.287194,100895.001893,731
Standby,27.286269,100894.682020,732
Standby,27.287439,100897.211152,733
Standby,27.274253,100896.096669,734
Standby,27.278829,100894.859846,735
Standby,27.283876,100895.101367,736
Standby,27.267721,100894.308493,737
Standby,27.270655,100894.010960,738
Standby,27.273397,100896.079730,739
Standby,27.272053,100896.016636,740
Standby,27.260264,100891.450484,741
Standby,27.247812,100893.197432,742
Standby,27.242922,100894.905844,743
Standby,27.235901,100894.028775,744
Standby,27.243463,100894.277680,745
Standby,27.233596,100895.760014,746
Standby,27.229527,100894.525609,747
Standby,27.221598,100892.024173,748
Standby,27.234801,100897.722383,749
Standby,27.229300,100893.581026,750
Standby,27.235814,100895.668541,751
Standby,27.230382,100894.558538,752
Standby,27.233875,100894.626184,753
Standby,27.225719,100893.429909,754
Standby,27.223781,100892.515207,755
Standby,27.227553,100897.623849,756
Standby,27.228094,100895.463981,757
Standby,27.224305,100894.228600,758
Standby,27.230470,100896.046101,759
Standby,27.226016,100896.272950,760
Standby,27.226069,100893.508475,761
Standby,27.224375,100894.324091,762
Standby,27.230278,100896.146490,763
Standby,27.225248,100894.233308,764
Standby,27.226069,100896.125180,765
Standby,27.219554,100896.303288,766
Standby,27.228950,100893.709884,767
Standby,27.222139,100893.837220,768
Standby,27.232164,100896.251636,769
Standby,27.228409,100893.971042,770
Standby,27.228671,100893.726810,771
Standby,27.230609,100896.891267,772
Standby,27.228811,100895.768643,773
Standby,27.228252,100895.674847,774
Standby,27.227588,100895.669170,775
Standby,27.230540,100896.779819,776
Standby,27.228880,100897.587341,777
Standby,27.229981,100896.510511,778
Standby,27.228287,100897.740976,779
Standby,27.227064,100896.779897,780
Standby,27.227466,100895.705494,781
Standby,27.222122,100894.694882,782
Standby,27.227396,100896.359914,783
Standby,27.218681,100894.814489,784
Standby,27.219746,100895.022211,785
Standby,27.225492,100898.979223,786
Standby,27.222157,100897.415155,787
Standby,27.219607,100897.671275,788
Standby,27.215171,100894.966233,789
Standby,27.219118,100896.747557,790
Standby,27.216219,100895.042388,791
Standby,27.216882,100897.313712,792
Standby,27.215485,100894.558290,793
Standby,27.215398,100893.884486,794
Standby,27.215468,100894.825599,795
Standby,27.227169,100895.989734,796
Standby,27.220637,100894.440748,797
Standby,27.215747,100893.899234,798
Standby,27.217721,100894.502695,799
Standby,27.219467,100895.453970,800
Standby,27.220602,100896.299665,801
Standby,27.223886,100895.235246,802
Standby,27.223257,100894.327964,803
Standby,27.226226,100896.256268,804
Standby,27.214752,100896.116451,805
Standby,27.216114,100895.306010,806
Standby,27.218524,100896.406570,807
Standby,27.212097,100894.849208,808
Standby,27.207591,100893.053872,809
Standby,27.214175,100896.321869,810
Standby,27.207067,100894.850605,811
Standby,27.207731,100896.786838,812
Standby,27.207381,100894.713904,813
Standby,27.207172,100895.719785,814
Standby,27.201828,100893.352953,815
Standby,27.209425,100895.875558,816
Standby,27.210839,100897.677586,817
Standby,27.207434,100896.560503,818
Standby,27.207539,100897.860467,819
Standby,27.210839,100897.709496,820
